ensembl_gene_id	gene_symbol	entrez_gene_id	hgnc_id	gene_biotype	synonyms	chromosome	description
ENSG00000000003	TSPAN6	7105	HGNC:11858	protein_coding	T245|TM4SF6|TSPAN-6	X	tetraspanin 6
ENSG00000000005	TNMD	64102	HGNC:17757	protein_coding	BRICD4|ChM1L|TEM|myodulin|tendin	X	tenomodulin
ENSG00000000419	DPM1	8813	HGNC:3005	protein_coding	CDGIE|MPDS	20	dolichyl-phosphate mannosyltransferase subunit 1, catalytic
ENSG00000000457	SCYL3	57147	HGNC:19285	protein_coding	PACE-1|PACE1	1	SCY1 like pseudokinase 3
ENSG00000000460	FIRRM	55732	HGNC:25565	protein_coding	Apolo1|C1orf112|FLIP|FLJ10706|MEICA1	1	FIGNL1 interacting regulator of recombination and mitosis
ENSG00000000938	FGR	2268	HGNC:3697	protein_coding	SRC2|c-fgr|cfgr|p55c-fgr|p55cfgr	1	FGR proto-oncogene, Src family tyrosine kinase
ENSG00000000971	CFH	3075	HGNC:4883	protein_coding	ARMD4|ARMS1|FHL1|HF|HF1|HF2|HUS	1	complement factor H
ENSG00000001036	FUCA2	2519	HGNC:4008	protein_coding	MGC1314|dJ20N2.5	6	alpha-L-fucosidase 2
ENSG00000001084	GCLC	2729	HGNC:4311	protein_coding	GCS|GLCL|GLCLC	6	glutamate-cysteine ligase catalytic subunit
ENSG00000001167	NFYA	4800	HGNC:7804	protein_coding	CBF-B|CBFB|HAP2|NF-YA	6	nuclear transcription factor Y subunit alpha
ENSG00000001460	STPG1	90529	HGNC:28070	protein_coding	C1orf201|FLJ33340|MAPO2	1	sperm tail PG-rich repeat containing 1
ENSG00000001461	NIPAL3	57185	HGNC:25233	protein_coding	DJ462O23.2|NPAL3|SLC57A5	1	NIPA like domain containing 3
ENSG00000001497	LAS1L	81887	HGNC:25726	protein_coding	FLJ12525|Las1	X	LAS1 like ribosome biogenesis factor
ENSG00000001561	ENPP4	22875	HGNC:3359	protein_coding	AP3Aase|KIAA0879|NPP4	6	ectonucleotide pyrophosphatase/phosphodiesterase 4
ENSG00000001617	SEMA3F	6405	HGNC:10728	protein_coding	SEMAK|Sema4	3	semaphorin 3F
ENSG00000001626	CFTR	1080	HGNC:1884	protein_coding	ABC35|ABCC7|CF|CFTR/MRP|MRP7|TNR-CFTR|TNRCFTR|dJ760C5.1	7	CF transmembrane conductance regulator
